# From roughly 16:30 26 Jan 2014 to 08:30 27 Jan 2014
# Sensor 1 is onboard-temperature
# Sensor 2 is external thermistor temperature in water
# Sensor 3 is garbage
# 
# time         sensor    value
2007           1         0.3180
2007           3         303.8780
2007           2         286.2510
2013           1         0.2830
2013           3         303.8670
2013           2         286.2550
2019           1         -0.0720
2019           3         303.8840
2019           2         286.2530
2025           1         0.0690
2025           3         303.8810
2025           2         286.2470
2031           1         -0.2320
2031           3         303.8780
2031           2         286.2530
2037           1         0.1410
2037           3         303.9520
2037           2         286.2340
2043           1         -0.3570
2043           3         303.8680
2043           2         286.2420
2049           1         0.0690
2049           3         303.8640
2049           2         286.2340
2055           1         0.2830
2055           3         303.8550
2055           2         286.2360
2061           1         -0.1080
2061           3         303.8620
2061           2         286.2320
2067           1         -0.4100
2067           3         303.8570
2067           2         286.2200
2073           1         -0.4460
2073           3         304.2510
2073           2         286.2320
2079           1         -0.5350
2079           3         304.3250
2079           2         286.2220
2085           1         -1.0860
2085           3         303.8450
2085           2         286.2170
2091           1         -0.6240
2091           3         303.8580
2091           2         286.2210
2097           1         -0.8730
2097           3         303.8390
2097           2         286.2250
2103           1         -0.8190
2103           3         303.8540
2103           2         286.2190
2109           1         -1.2460
2109           3         304.9300
2109           2         286.2220
2115           1         -0.8730
2115           3         303.8490
2115           2         286.2220
2121           1         -1.0860
2121           3         303.8490
2121           2         286.2120
2127           1         -1.3710
2127           3         304.0940
2127           2         286.2140
2133           1         -0.9970
2133           3         303.8450
2133           2         286.2190
2139           1         -1.2460
2139           3         304.9330
2139           2         286.2080
2145           1         -1.5850
2145           3         303.8260
2145           2         286.2150
2151           1         -1.5490
2151           3         303.8300
2151           2         286.2030
2157           1         -1.4600
2157           3         303.8240
2157           2         286.2060
2163           1         -1.7620
2163           3         303.8190
2163           2         286.2060
2169           1         -1.6740
2169           3         303.8230
2169           2         286.1980
2175           1         -1.7620
2175           3         303.8200
2175           2         286.1940
2181           1         -2.4920
2181           3         303.8190
2181           2         286.2060
2187           1         -1.9230
2187           3         303.8190
2187           2         286.2090
2193           1         -1.8510
2193           3         303.8170
2193           2         286.1970
2199           1         -2.1900
2199           3         303.8090
2199           2         286.1870
2205           1         -1.7980
2205           3         303.8140
2205           2         286.1920
2211           1         -2.1010
2211           3         303.8020
2211           2         286.1800
2217           1         -2.0650
2217           3         303.8060
2217           2         286.1830
2223           1         -2.0650
2223           3         303.8050
2223           2         286.1730
2229           1         -2.4030
2229           3         303.8020
2229           2         286.1920
2235           1         -2.3140
2235           3         303.8030
2235           2         286.1800
2241           1         -2.7770
2241           3         303.7940
2241           2         286.1800
2247           1         -2.4920
2247           3         303.7860
2247           2         286.1800
2253           1         -2.6520
2253           3         303.8020
2253           2         286.1730
2259           1         -2.6880
2259           3         303.7950
